id:ID,department,jobRole,jobLevel,tenureCohort,isActive:boolean,exitDate
EMP_0051,Research & Development,Laboratory Technician,Mid Level,0-2,True,2021-11-28
EMP_0052,Research & Development,Laboratory Technician,Entry Level,2-5,True,2020-07-10
EMP_0053,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0054,Research & Development,Healthcare Representative,Mid Level,2-5,True,
EMP_0055,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0056,Research & Development,Research Director,Mid Level,10+,True,
EMP_0057,Sales,Sales Executive,Mid Level,5-10,True,
EMP_0058,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0059,Research & Development,Laboratory Technician,Junior Level,5-10,True,
EMP_0060,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0061,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0062,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0063,Research & Development,Research Director,Executive Level,10+,True,
EMP_0064,Sales,Sales Executive,Mid Level,10+,True,
EMP_0065,Research & Development,Healthcare Representative,Mid Level,10+,True,
EMP_0066,Research & Development,Manager,Senior Level,5-10,True,
EMP_0067,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0068,Research & Development,Research Scientist,Mid Level,0-2,True,
EMP_0069,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0070,Research & Development,Research Scientist,Entry Level,0-2,True,2020-11-01
EMP_0071,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0072,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0073,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0074,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0075,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0076,Research & Development,Manufacturing Director,Junior Level,10+,True,
EMP_0077,Sales,Sales Executive,Junior Level,10+,True,
EMP_0078,Research & Development,Research Director,Mid Level,0-2,True,
EMP_0079,Research & Development,Research Director,Mid Level,5-10,True,
EMP_0080,Human Resources,Human Resources,Junior Level,2-5,True,
EMP_0081,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0082,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0083,Sales,Sales Executive,Mid Level,0-2,True,
EMP_0084,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0085,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0086,Research & Development,Manufacturing Director,Mid Level,5-10,True,
EMP_0087,Sales,Sales Representative,Entry Level,0-2,True,
EMP_0088,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0089,Research & Development,Healthcare Representative,Junior Level,10+,True,
EMP_0090,Sales,Sales Executive,Mid Level,5-10,True,2020-06-17
EMP_0091,Research & Development,Healthcare Representative,Senior Level,10+,True,
EMP_0092,Sales,Sales Executive,Junior Level,10+,True,
EMP_0093,Sales,Sales Executive,Junior Level,10+,True,
EMP_0094,Research & Development,Healthcare Representative,Mid Level,10+,True,
EMP_0095,Sales,Sales Executive,Junior Level,10+,True,
EMP_0096,Research & Development,Research Director,Mid Level,2-5,True,
EMP_0097,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0098,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0099,Sales,Sales Executive,Senior Level,10+,True,
EMP_0100,Research & Development,Laboratory Technician,Junior Level,2-5,True,
EMP_0101,Human Resources,Human Resources,Entry Level,2-5,True,2022-11-30
EMP_0102,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0103,Research & Development,Laboratory Technician,Entry Level,0-2,True,2021-01-24
EMP_0104,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0105,Research & Development,Healthcare Representative,Junior Level,0-2,True,
EMP_0106,Human Resources,Manager,Executive Level,2-5,True,
EMP_0107,Research & Development,Research Director,Executive Level,5-10,True,
EMP_0108,Sales,Sales Executive,Junior Level,5-10,True,2020-08-12
EMP_0109,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0110,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0111,Research & Development,Healthcare Representative,Mid Level,10+,True,
EMP_0112,Research & Development,Laboratory Technician,Junior Level,5-10,True,2021-05-10
EMP_0113,Human Resources,Manager,Senior Level,5-10,True,
EMP_0114,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0115,Research & Development,Research Scientist,Junior Level,0-2,True,
EMP_0116,Sales,Sales Executive,Mid Level,5-10,True,
EMP_0117,Research & Development,Manager,Mid Level,10+,True,
EMP_0118,Sales,Sales Executive,Mid Level,5-10,True,
EMP_0119,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0120,Sales,Manager,Senior Level,10+,True,
EMP_0121,Research & Development,Research Scientist,Entry Level,10+,True,
EMP_0122,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0123,Research & Development,Research Scientist,Entry Level,5-10,True,2021-07-26
EMP_0124,Research & Development,Research Director,Executive Level,10+,True,
EMP_0125,Sales,Sales Executive,Junior Level,5-10,True,2023-01-19
EMP_0126,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0127,Research & Development,Healthcare Representative,Mid Level,10+,True,2022-02-07
EMP_0128,Sales,Sales Representative,Entry Level,0-2,True,2021-12-19
EMP_0129,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0130,Research & Development,Manufacturing Director,Junior Level,10+,True,
EMP_0131,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0132,Sales,Sales Executive,Mid Level,2-5,True,
EMP_0133,Sales,Sales Executive,Junior Level,2-5,True,2023-09-15
EMP_0134,Sales,Sales Executive,Mid Level,5-10,True,
EMP_0135,Human Resources,Human Resources,Entry Level,5-10,True,
EMP_0136,Research & Development,Manufacturing Director,Junior Level,2-5,True,
EMP_0137,Research & Development,Manufacturing Director,Mid Level,2-5,True,2022-01-11
EMP_0138,Sales,Sales Executive,Junior Level,10+,True,
EMP_0139,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0140,Human Resources,Human Resources,Junior Level,10+,True,
EMP_0141,Research & Development,Laboratory Technician,Entry Level,5-10,True,2023-06-22
EMP_0142,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0143,Research & Development,Research Scientist,Junior Level,2-5,True,
EMP_0144,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0145,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0146,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0147,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0148,Research & Development,Manager,Senior Level,5-10,True,
EMP_0149,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0150,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0151,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0152,Sales,Sales Executive,Mid Level,10+,True,
EMP_0153,Sales,Sales Representative,Junior Level,5-10,True,
EMP_0154,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0155,Sales,Sales Executive,Mid Level,5-10,True,
EMP_0156,Research & Development,Manufacturing Director,Junior Level,10+,True,
EMP_0157,Research & Development,Manufacturing Director,Junior Level,0-2,True,
EMP_0158,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0159,Sales,Sales Executive,Mid Level,10+,True,
EMP_0160,Sales,Sales Representative,Entry Level,2-5,True,
EMP_0161,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0162,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0163,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0164,Research & Development,Healthcare Representative,Mid Level,5-10,True,
EMP_0165,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0166,Research & Development,Manager,Executive Level,5-10,True,
EMP_0167,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0168,Sales,Sales Executive,Mid Level,10+,True,
EMP_0169,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0170,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0171,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0172,Sales,Sales Representative,Entry Level,0-2,True,2023-02-25
EMP_0173,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0174,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0175,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0176,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0177,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0178,Research & Development,Laboratory Technician,Entry Level,0-2,True,2023-07-23
EMP_0179,Sales,Sales Executive,Mid Level,10+,True,
EMP_0180,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0181,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0182,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0183,Sales,Sales Representative,Entry Level,2-5,True,2022-02-27
EMP_0184,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0185,Research & Development,Manufacturing Director,Junior Level,2-5,True,
EMP_0186,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0187,Research & Development,Manager,Executive Level,10+,True,
EMP_0188,Research & Development,Research Director,Executive Level,10+,True,
EMP_0189,Research & Development,Manufacturing Director,Junior Level,10+,True,
EMP_0190,Research & Development,Healthcare Representative,Senior Level,5-10,True,
EMP_0191,Research & Development,Manager,Executive Level,10+,True,
EMP_0192,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0193,Research & Development,Manufacturing Director,Junior Level,0-2,True,2020-07-02
EMP_0194,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0195,Research & Development,Manager,Senior Level,10+,True,
EMP_0196,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0197,Research & Development,Laboratory Technician,Junior Level,5-10,True,
EMP_0198,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0199,Research & Development,Manufacturing Director,Junior Level,0-2,True,
EMP_0200,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0201,Research & Development,Manufacturing Director,Junior Level,2-5,True,
EMP_0202,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0203,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0204,Research & Development,Laboratory Technician,Junior Level,5-10,True,
EMP_0205,Research & Development,Healthcare Representative,Junior Level,0-2,True,2023-05-17
EMP_0206,Sales,Sales Executive,Mid Level,10+,True,2022-09-19
EMP_0207,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0208,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0209,Research & Development,Healthcare Representative,Junior Level,2-5,True,
EMP_0210,Research & Development,Healthcare Representative,Mid Level,2-5,True,
EMP_0211,Sales,Sales Executive,Mid Level,10+,True,2023-03-05
EMP_0212,Research & Development,Manufacturing Director,Mid Level,10+,True,
EMP_0213,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0214,Research & Development,Research Director,Mid Level,10+,True,
EMP_0215,Research & Development,Research Scientist,Entry Level,5-10,True,2023-12-01
EMP_0216,Sales,Manager,Mid Level,0-2,True,
EMP_0217,Sales,Sales Executive,Junior Level,5-10,True,2022-10-12
EMP_0218,Research & Development,Research Scientist,Entry Level,5-10,True,2020-11-07
EMP_0219,Sales,Sales Executive,Mid Level,10+,True,
EMP_0220,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0221,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0222,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0223,Research & Development,Research Director,Mid Level,10+,True,
EMP_0224,Sales,Sales Executive,Mid Level,10+,True,
EMP_0225,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0226,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0227,Sales,Sales Representative,Entry Level,5-10,True,
EMP_0228,Sales,Sales Executive,Mid Level,10+,True,
EMP_0229,Sales,Sales Executive,Mid Level,10+,True,
EMP_0230,Research & Development,Research Scientist,Entry Level,2-5,True,2021-06-08
EMP_0231,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0232,Research & Development,Manager,Executive Level,10+,True,
EMP_0233,Human Resources,Human Resources,Entry Level,2-5,True,
EMP_0234,Sales,Manager,Executive Level,5-10,True,
EMP_0235,Research & Development,Laboratory Technician,Entry Level,5-10,True,2023-04-14
EMP_0236,Sales,Manager,Senior Level,10+,True,
EMP_0237,Research & Development,Laboratory Technician,Entry Level,5-10,True,2020-09-14
EMP_0238,Sales,Manager,Executive Level,10+,True,
EMP_0239,Sales,Sales Representative,Entry Level,2-5,True,
EMP_0240,Research & Development,Laboratory Technician,Entry Level,2-5,True,2021-01-10
EMP_0241,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0242,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0243,Research & Development,Research Scientist,Junior Level,0-2,True,
EMP_0244,Research & Development,Research Scientist,Junior Level,5-10,True,
EMP_0245,Research & Development,Manager,Executive Level,10+,True,
EMP_0246,Research & Development,Research Director,Mid Level,2-5,True,
EMP_0247,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0248,Research & Development,Manufacturing Director,Junior Level,10+,True,
EMP_0249,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0250,Research & Development,Manufacturing Director,Junior Level,2-5,True,
EMP_0251,Research & Development,Manufacturing Director,Mid Level,0-2,True,2023-07-15
EMP_0252,Research & Development,Healthcare Representative,Mid Level,10+,True,
EMP_0253,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0254,Research & Development,Research Scientist,Junior Level,2-5,True,
EMP_0255,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0256,Research & Development,Manufacturing Director,Junior Level,2-5,True,
EMP_0257,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0258,Research & Development,Research Director,Executive Level,10+,True,
EMP_0259,Research & Development,Research Scientist,Entry Level,0-2,True,
EMP_0260,Research & Development,Laboratory Technician,Entry Level,5-10,True,2023-02-21
EMP_0261,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0262,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0263,Research & Development,Laboratory Technician,Junior Level,5-10,True,
EMP_0264,Sales,Manager,Senior Level,5-10,True,
EMP_0265,Research & Development,Laboratory Technician,Entry Level,0-2,True,2023-07-11
EMP_0266,Sales,Sales Executive,Junior Level,0-2,True,
EMP_0267,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0268,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0269,Research & Development,Healthcare Representative,Senior Level,10+,True,
EMP_0270,Research & Development,Laboratory Technician,Entry Level,10+,True,
EMP_0271,Research & Development,Manager,Executive Level,10+,True,
EMP_0272,Research & Development,Manager,Mid Level,10+,True,2022-10-17
EMP_0273,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0274,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0275,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0276,Research & Development,Research Director,Mid Level,5-10,True,
EMP_0277,Research & Development,Manager,Mid Level,5-10,True,
EMP_0278,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0279,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0280,Research & Development,Research Director,Executive Level,10+,True,
EMP_0281,Research & Development,Research Director,Senior Level,5-10,True,
EMP_0282,Sales,Sales Executive,Junior Level,10+,True,
EMP_0283,Sales,Sales Executive,Junior Level,10+,True,
EMP_0284,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0285,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0286,Research & Development,Research Scientist,Entry Level,10+,True,
EMP_0287,Research & Development,Laboratory Technician,Entry Level,0-2,True,2021-12-29
EMP_0288,Research & Development,Healthcare Representative,Junior Level,2-5,True,
EMP_0289,Research & Development,Laboratory Technician,Entry Level,2-5,True,2022-10-04
EMP_0290,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0291,Research & Development,Research Director,Executive Level,2-5,True,
EMP_0292,Research & Development,Research Scientist,Junior Level,5-10,True,
EMP_0293,Sales,Sales Representative,Entry Level,2-5,True,
EMP_0294,Sales,Sales Executive,Junior Level,5-10,True,2020-01-15
EMP_0295,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0296,Sales,Sales Executive,Senior Level,10+,True,
EMP_0297,Research & Development,Laboratory Technician,Entry Level,0-2,True,2020-05-13
EMP_0298,Sales,Sales Executive,Mid Level,10+,True,
EMP_0299,Research & Development,Laboratory Technician,Entry Level,0-2,True,
EMP_0300,Research & Development,Manufacturing Director,Junior Level,2-5,True,
EMP_0301,Sales,Manager,Senior Level,10+,True,
EMP_0302,Sales,Sales Representative,Entry Level,0-2,True,
EMP_0303,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0304,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0305,Research & Development,Healthcare Representative,Mid Level,10+,True,
EMP_0306,Research & Development,Laboratory Technician,Junior Level,5-10,True,
EMP_0307,Sales,Sales Executive,Junior Level,10+,True,
EMP_0308,Research & Development,Research Director,Mid Level,10+,True,
EMP_0309,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0310,Research & Development,Research Scientist,Entry Level,5-10,True,
EMP_0311,Human Resources,Human Resources,Junior Level,2-5,True,
EMP_0312,Research & Development,Laboratory Technician,Mid Level,10+,True,
EMP_0313,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0314,Research & Development,Manager,Mid Level,10+,True,
EMP_0315,Research & Development,Manager,Senior Level,10+,True,
EMP_0316,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0317,Research & Development,Healthcare Representative,Senior Level,5-10,True,
EMP_0318,Research & Development,Research Scientist,Junior Level,5-10,True,2022-02-02
EMP_0319,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0320,Sales,Sales Executive,Junior Level,10+,True,
EMP_0321,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0322,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0323,Research & Development,Research Scientist,Junior Level,5-10,True,
EMP_0324,Research & Development,Research Scientist,Entry Level,2-5,True,2023-12-26
EMP_0325,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0326,Research & Development,Manufacturing Director,Mid Level,10+,True,
EMP_0327,Research & Development,Manager,Executive Level,10+,True,
EMP_0328,Sales,Sales Executive,Junior Level,0-2,True,2023-07-22
EMP_0329,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0330,Research & Development,Research Director,Executive Level,2-5,True,
EMP_0331,Research & Development,Laboratory Technician,Junior Level,5-10,True,
EMP_0332,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0333,Research & Development,Research Scientist,Junior Level,2-5,True,
EMP_0334,Research & Development,Healthcare Representative,Mid Level,0-2,True,
EMP_0335,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0336,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0337,Research & Development,Laboratory Technician,Entry Level,5-10,True,2022-08-14
EMP_0338,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0339,Sales,Sales Executive,Junior Level,10+,True,
EMP_0340,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0341,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0342,Research & Development,Research Director,Mid Level,10+,True,
EMP_0343,Research & Development,Manufacturing Director,Mid Level,10+,True,
EMP_0344,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0345,Research & Development,Manufacturing Director,Mid Level,10+,True,
EMP_0346,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0347,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0348,Sales,Sales Representative,Junior Level,0-2,True,
EMP_0349,Research & Development,Research Director,Senior Level,0-2,True,
EMP_0350,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0351,Human Resources,Human Resources,Entry Level,2-5,True,
EMP_0352,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0353,Sales,Manager,Mid Level,0-2,True,
EMP_0354,Research & Development,Research Scientist,Junior Level,5-10,True,
EMP_0355,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0356,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0357,Research & Development,Healthcare Representative,Junior Level,0-2,True,
EMP_0358,Sales,Sales Representative,Entry Level,2-5,True,2022-06-15
EMP_0359,Sales,Sales Executive,Junior Level,0-2,True,
EMP_0360,Sales,Sales Executive,Mid Level,10+,True,
EMP_0361,Research & Development,Healthcare Representative,Junior Level,2-5,True,
EMP_0362,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0363,Sales,Sales Representative,Entry Level,2-5,True,
EMP_0364,Sales,Sales Representative,Entry Level,0-2,True,2020-07-06
EMP_0365,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0366,Research & Development,Manufacturing Director,Junior Level,0-2,True,
EMP_0367,Sales,Sales Executive,Junior Level,5-10,True,2020-11-21
EMP_0368,Research & Development,Healthcare Representative,Mid Level,2-5,True,
EMP_0369,Sales,Sales Executive,Junior Level,5-10,True,2023-02-02
EMP_0370,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0371,Sales,Sales Representative,Entry Level,0-2,True,2022-02-26
EMP_0372,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0373,Research & Development,Healthcare Representative,Junior Level,0-2,True,
EMP_0374,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0375,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0376,Research & Development,Healthcare Representative,Mid Level,5-10,True,
EMP_0377,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0378,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0379,Sales,Sales Executive,Junior Level,5-10,True,2020-09-07
EMP_0380,Research & Development,Manager,Senior Level,5-10,True,
EMP_0381,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0382,Sales,Sales Representative,Entry Level,0-2,True,
EMP_0383,Research & Development,Research Scientist,Entry Level,5-10,True,2022-05-13
EMP_0384,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0385,Sales,Sales Executive,Mid Level,10+,True,
EMP_0386,Research & Development,Research Scientist,Entry Level,0-2,True,2022-03-24
EMP_0387,Research & Development,Laboratory Technician,Entry Level,10+,True,
EMP_0388,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0389,Research & Development,Laboratory Technician,Entry Level,5-10,True,
EMP_0390,Research & Development,Manufacturing Director,Junior Level,0-2,True,
EMP_0391,Research & Development,Research Director,Senior Level,10+,True,
EMP_0392,Research & Development,Laboratory Technician,Junior Level,0-2,True,
EMP_0393,Research & Development,Research Director,Executive Level,2-5,True,
EMP_0394,Sales,Sales Executive,Junior Level,2-5,True,
EMP_0395,Research & Development,Manufacturing Director,Junior Level,10+,True,
EMP_0396,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0397,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0398,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0399,Research & Development,Research Scientist,Junior Level,10+,True,
EMP_0400,Research & Development,Laboratory Technician,Entry Level,2-5,True,
EMP_0401,Research & Development,Manager,Executive Level,10+,True,
EMP_0402,Sales,Sales Executive,Senior Level,5-10,True,
EMP_0403,Sales,Sales Executive,Junior Level,5-10,True,
EMP_0404,Sales,Sales Executive,Mid Level,10+,True,
EMP_0405,Research & Development,Laboratory Technician,Junior Level,10+,True,
EMP_0406,Research & Development,Laboratory Technician,Entry Level,2-5,True,2022-03-31
EMP_0407,Research & Development,Manufacturing Director,Mid Level,5-10,True,
EMP_0408,Research & Development,Research Scientist,Entry Level,2-5,True,
EMP_0409,Research & Development,Manager,Senior Level,5-10,True,
EMP_0410,Research & Development,Research Scientist,Junior Level,5-10,True,
EMP_0411,Research & Development,Manufacturing Director,Junior Level,5-10,True,
EMP_0412,Research & Development,Manager,Executive Level,10+,True,
EMP_0413,Research & Development,Manufacturing Director,Junior Level,10+,True,
EMP_0414,Research & Development,Healthcare Representative,Junior Level,5-10,True,
EMP_0415,Sales,Sales Representative,Entry Level,5-10,True,2022-04-18
EMP_0416,Sales,Sales Representative,Entry Level,2-5,True,2023-03-08
